,rep_0,rep_1
P05023_ATP1A1,,
P05067_APP,0.0,
P05109_S100A8,,
P05114_HMGN1,,
P05129_PRKCG,0.47140452079103173,
P05155_SERPING1,,
P05156_CFI,,0.0
P05164_MPO,,
P05186_ALPL,0.4330127018922193,0.8485281374238569
P05187_ALPP,,
P05386_RPLP1,,
P05387_RPLP2,0.3709096446535752,0.18181818181818182
P05388_RPLP0,0.0,0.692820323027551
P05412_JUN,,0.0
P05452_CLEC3B,,
P05455_SSB,0.19034885600026444,0.28958845933651495
P05771_PRKCB,0.47140452079103173,0.692820323027551
P05783_KRT18,0.4180812294131773,0.4968160342370202
P06127_CD5,,
P06132_UROD,,
P06239_LCK,,0.0
P06241_FYN,0.24743582965269678,0.24743582965269678
P06396_GSN,,
P06400_RB1,0.5511070751355519,0.2165063509461097
P06401_PGR,,
